label,file,paper_id,total_nodes,total_edges,pw_node_count,pw_top_level_count,pw_total_cites,pw_avg_cites,single_cite_pw_share,has_anchor,anchor_cite_share,pw_branching,lim_node_count,lim_total_cites,lim_avg_cites,lim_specificity,lim_scope_avg_cites,lim_scope_sample_count,addresses_density,method_node_count,method_component_count,method_total_cites,method_avg_cites,method_to_lim_addresses,method_branching,method_pw_reach_avg,max_width,graph_longest_path,distinct_zones_used,branching_factor,convergence_factor,complexity_score,avg_node_degree,sum_node_degree,elaboration_pct,contrast_pct,consequence_pct,evidence_pct,addresses_pct,contribution_count,result_count,proof_count,fork_count,join_count,total_cites,cite_density
ai,FA0153.json,FA0153,16,18,3,2,1,0.333,0.333,0,0.0,0,3,1,0.333,2,1.0,3,0.5,3,0,0,0.0,0,1.667,3.0,3,15,6,3.0,2.5,45,2.25,36,0.5,0.111,0.167,0.056,0.167,3,1,0,1,2,5,0.312
ai,FA0163.json,FA0163,15,16,1,1,3,3.0,0.0,1,1.0,0,1,0,0.0,1,3.0,1,0.333,3,0,0,0.0,0,1.0,1.0,3,14,6,3.0,3.0,42,2.133,32,0.562,0.062,0.188,0.062,0.125,3,3,0,1,1,5,0.333
ai,FA0172.json,FA0172,16,17,1,1,2,2.0,0.0,1,1.0,0,2,1,0.5,2,2.0,2,0.286,4,0,0,0.0,0,1.0,1.0,3,15,6,3.0,2.0,45,2.125,34,0.529,0.118,0.176,0.059,0.118,3,2,0,1,2,5,0.312
ai,FA0175.json,FA0175,13,15,2,2,3,1.5,0.5,1,0.333,0,2,0,0.0,2,1.5,2,0.5,3,0,0,0.0,0,1.667,2.0,3,12,5,3.0,2.5,36,2.308,30,0.667,0.067,0.067,0.0,0.2,3,0,0,1,2,6,0.462
ai,FA0181.json,FA0181,14,15,2,2,1,0.5,0.5,1,1.0,0,2,0,0.0,2,1.0,2,0.4,2,0,0,0.0,0,2.0,2.0,3,13,5,3.0,2.0,39,2.143,30,0.6,0.133,0.133,0.0,0.133,3,0,0,1,2,5,0.357
ai,FA0191.json,FA0191,18,20,4,1,6,1.5,0.0,0,0.0,1,1,0,0.0,1,2.0,1,0.1,6,0,0,0.0,0,1.5,4.0,4,14,5,3.5,4.0,56,2.222,40,0.85,0.05,0.05,0.0,0.05,4,0,0,2,1,10,0.556
ai,FA0193.json,FA0193,16,19,3,2,1,0.333,0.333,1,1.0,0,2,0,0.0,2,1.0,2,0.6,2,0,1,0.5,0,1.0,3.0,3,15,6,2.5,3.0,45,2.375,38,0.526,0.158,0.053,0.105,0.158,3,2,0,2,2,3,0.188
ai,FA0201.json,FA0201,16,18,1,1,0,0.0,0.0,0,0.0,0,1,0,0.0,1,0.0,0,0.429,4,0,0,0.0,0,1.5,1.0,3,15,6,3.0,4.0,45,2.25,36,0.667,0.111,0.056,0.0,0.167,3,3,0,1,1,7,0.438
ai,FA0209.json,FA0209,19,23,4,2,6,1.5,0.5,1,0.167,0,2,0,0.0,1,1.0,2,0.571,4,0,0,0.0,2,1.5,4.0,3,18,6,2.25,3.5,54,2.421,46,0.696,0.13,0.0,0.0,0.174,3,4,0,4,2,8,0.421
ai,FA0213.json,FA0213,15,19,1,1,1,1.0,1.0,1,1.0,0,3,0,0.0,3,1.0,3,0.444,5,0,0,0.0,0,1.6,1.0,4,13,5,3.0,2.667,52,2.533,38,0.526,0.158,0.105,0.0,0.211,4,0,0,2,3,4,0.267
ai,FA0214.json,FA0214,20,24,1,1,0,0.0,0.0,0,0.0,0,2,0,0.0,2,0.0,0,0.571,3,0,0,0.0,0,1.0,1.0,4,17,6,3.5,3.5,68,2.4,48,0.625,0.0,0.042,0.167,0.167,4,4,0,2,2,2,0.1
ai,FA0231.json,FA0231,17,19,5,2,5,1.0,0.6,1,0.4,1,3,0,0.0,1,1.333,3,0.167,3,0,0,0.0,0,1.0,5.0,3,14,6,3.0,4.0,42,2.235,38,0.579,0.211,0.105,0.053,0.053,3,2,0,2,1,6,0.353
ai,FA0235.json,FA0235,15,14,1,1,2,2.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,4,0,0,0.0,0,1.0,1.0,3,13,5,3.0,0.0,39,1.867,28,0.714,0.071,0.143,0.071,0.0,3,1,0,1,0,6,0.4
human,FA0001_anchor.json,FA0001_anchor,23,23,3,3,2,0.667,0.667,1,0.5,0,1,0,0.0,0,1.0,1,0.0,3,0,4,1.333,0,1.0,2.667,4,21,6,2.5,2.0,84,2.0,46,0.696,0.13,0.087,0.087,0.0,3,5,0,2,1,7,0.304
human,FA0006_anchor.json,FA0006_anchor,17,17,1,1,4,4.0,0.0,0,0.0,0,4,9,2.25,1,4.0,4,0.25,3,0,2,0.667,0,1.333,1.0,2,17,7,2.0,2.0,34,2.0,34,0.588,0.118,0.176,0.059,0.059,1,1,1,1,1,21,1.235
human,FA0008_anchor.json,FA0008_anchor,32,33,1,1,2,2.0,0.0,0,0.0,0,1,0,0.0,1,2.0,1,0.095,13,0,10,0.769,0,1.538,0.692,8,26,6,8.0,3.0,208,2.062,66,0.727,0.03,0.061,0.121,0.061,8,6,0,1,1,25,0.781
human,FA0011_anchor.json,FA0011_anchor,38,45,3,1,3,1.0,0.333,1,0.667,1,4,5,1.25,3,1.5,4,0.286,17,6,1,0.059,3,1.353,2.529,4,25,7,3.0,2.8,100,2.368,90,0.533,0.089,0.222,0.022,0.133,4,1,1,8,5,20,0.526
human,FA0012_anchor.json,FA0012_anchor,37,42,4,2,12,3.0,0.0,0,0.0,1,1,0,0.0,0,4.0,1,0.2,14,0,4,0.286,0,1.286,2.929,5,31,7,2.143,2.143,155,2.27,84,0.524,0.095,0.238,0.071,0.071,1,9,2,7,7,16,0.432
human,FA0013_anchor.json,FA0013_anchor,40,46,6,3,11,1.833,0.167,0,0.0,0,9,0,0.0,4,2.556,9,0.538,12,0,2,0.167,6,1.583,2.917,4,35,7,2.8,2.6,140,2.3,92,0.543,0.152,0.13,0.022,0.152,1,6,1,5,5,17,0.425
human,FA0018_anchor.json,FA0018_anchor,34,38,7,1,3,0.429,0.429,1,0.333,0,8,3,0.375,2,1.0,8,0.417,9,0,0,0.0,2,1.444,3.333,3,29,6,4.0,3.0,87,2.235,76,0.842,0.0,0.0,0.026,0.132,3,0,1,2,3,9,0.265
human,FA0021_anchor.json,FA0021_anchor,23,25,4,2,10,2.5,0.25,0,0.0,0,2,0,0.0,2,3.5,2,0.231,11,0,10,0.909,3,1.364,3.727,2,22,6,2.0,2.5,44,2.174,50,0.68,0.12,0.04,0.04,0.12,2,2,0,4,2,29,1.261
human,FA0022_anchor.json,FA0022_anchor,22,22,2,1,3,1.5,0.5,0,0.0,0,1,0,0.0,1,1.0,1,0.25,0,0,0,0.0,0,0.0,0.0,4,20,5,4.0,2.0,80,2.0,44,0.818,0.091,0.045,0.0,0.045,4,8,0,1,1,10,0.455
human,FA0032_anchor.json,FA0032_anchor,17,19,2,1,3,1.5,0.0,0,0.0,0,2,0,0.0,2,3.0,2,0.333,6,0,2,0.333,0,1.5,2.0,3,14,6,2.333,2.5,42,2.235,38,0.526,0.105,0.105,0.105,0.158,3,0,2,3,2,7,0.412
human,FA0034_anchor.json,FA0034_anchor,28,33,8,2,14,1.75,0.25,1,0.071,0,4,15,3.75,2,2.0,4,0.444,5,3,0,0.0,3,2.2,7.8,4,25,7,3.25,3.0,100,2.357,66,0.667,0.03,0.061,0.121,0.121,4,1,1,4,3,37,1.321
human,ICLR_ActBeacon.json,ICLR_ActBeacon,34,40,3,1,5,1.667,0.0,0,0.0,0,6,4,0.667,4,5.0,6,0.267,15,0,0,0.0,4,1.267,2.067,1,33,5,2.167,2.167,33,2.353,80,0.725,0.05,0.075,0.05,0.1,0,4,0,6,6,17,0.5
human,ICLR_Anonymizer.json,ICLR_Anonymizer,26,30,2,2,4,2.0,0.5,1,0.25,0,3,0,0.0,2,2.333,3,0.375,5,0,0,0.0,1,1.2,1.8,4,25,6,2.25,2.667,100,2.308,60,0.733,0.033,0.1,0.033,0.1,3,2,0,4,3,12,0.462
human,ICLR_AsyncMoE.json,ICLR_AsyncMoE,27,31,8,3,16,2.0,0.0,0,0.0,0,3,3,1.0,3,4.333,3,0.556,3,0,0,0.0,3,2.0,2.667,3,24,6,3.333,2.667,72,2.296,62,0.581,0.129,0.097,0.032,0.161,6,1,0,3,3,24,0.889
human,ICLR_AttentionHeads.json,ICLR_AttentionHeads,30,29,4,2,13,3.25,0.0,0,0.0,0,3,6,2.0,3,4.0,3,0.231,9,0,2,0.222,0,1.0,3.444,4,24,6,4.0,2.0,96,1.933,58,0.586,0.069,0.138,0.103,0.103,4,7,0,1,3,31,1.033
human,ICLR_AutoGDA.json,ICLR_AutoGDA,33,37,7,6,14,2.0,0.0,0,0.0,0,11,0,0.0,5,2.182,11,0.556,4,0,0,0.0,0,1.0,4.5,6,31,5,2.667,2.0,186,2.242,74,0.649,0.108,0.108,0.0,0.135,5,0,0,3,5,18,0.545
human,ICLR_BIRD.json,ICLR_BIRD,34,33,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,17,0,1,0.059,0,1.0,0.0,4,26,4,3.667,0.0,104,1.941,66,0.727,0.03,0.212,0.03,0.0,4,2,0,3,0,8,0.235
human,ICLR_BSTaR.json,ICLR_BSTaR,23,26,4,1,7,1.75,0.5,0,0.0,0,4,2,0.5,3,1.0,4,0.429,7,0,4,0.571,3,1.429,4.0,3,22,6,2.333,2.25,66,2.261,52,0.654,0.077,0.115,0.038,0.115,0,4,1,3,4,16,0.696
human,ICLR_Backtracking.json,ICLR_Backtracking,18,19,2,1,4,2.0,0.0,0,0.0,0,4,2,0.5,2,2.0,4,0.5,4,0,0,0.0,2,1.5,2.0,1,18,5,3.0,2.0,18,2.111,38,0.632,0.0,0.158,0.105,0.105,0,6,0,1,2,9,0.5
human,ICLR_CausalConcept.json,ICLR_CausalConcept,23,27,4,2,6,1.5,0.0,0,0.0,0,6,3,0.5,4,2.0,6,0.667,2,0,0,0.0,2,2.0,4.0,2,21,5,2.5,2.25,42,2.348,54,0.63,0.111,0.111,0.0,0.148,4,0,0,4,4,12,0.522
human,ICLR_ContractivePolicy.json,ICLR_ContractivePolicy,27,30,7,3,13,1.857,0.0,0,0.0,1,4,1,0.25,2,3.5,4,0.273,3,0,3,1.0,0,1.0,7.0,3,21,7,3.5,2.25,63,2.222,60,0.633,0.133,0.1,0.033,0.1,8,1,1,2,4,21,0.778
human,ICLR_FasterCache.json,ICLR_FasterCache,37,40,4,1,4,1.0,0.0,0,0.0,0,3,0,0.0,2,4.0,3,0.308,8,0,0,0.0,2,1.25,1.875,3,32,7,2.4,2.5,96,2.162,80,0.65,0.1,0.1,0.05,0.1,5,12,2,5,4,21,0.568
